단축코드,표준코드,한글종목명,증권그룹구분코드,시가총액 규모 구분 코드 유가,지수업종 대분류 코드,지수 업종 중분류 코드,지수업종 소분류 코드,벤처기업 여부 (Y/N),저유동성종목 여부,KRX 종목 여부,ETP 상품구분코드,KRX100 종목 여부 (Y/N),KRX 자동차 여부,KRX 반도체 여부,KRX 바이오 여부,KRX 은행 여부,기업인수목적회사여부,KRX 에너지 화학 여부,KRX 철강 여부,단기과열종목구분코드,KRX 미디어 통신 여부,KRX 건설 여부,(코스닥)투자주의환기종목여부,KRX 증권 구분,KRX 선박 구분,KRX섹터지수 보험여부,KRX섹터지수 운송여부,"KOSDAQ150지수여부 (Y,N)",주식 기준가,정규 시장 매매 수량 단위,시간외 시장 매매 수량 단위,거래정지 여부,정리매매 여부,관리 종목 여부,시장 경고 구분 코드,시장 경고위험 예고 여부,불성실 공시 여부,우회 상장 여부,락구분 코드,액면가 변경 구분 코드,증자 구분 코드,증거금 비율,신용주문 가능 여부,신용기간,전일 거래량,주식 액면가,주식 상장 일자,상장 주수(천),자본금,결산 월,공모 가격,우선주 구분 코드,공매도과열종목여부,이상급등종목여부,KRX300 종목 여부 (Y/N),매출액,영업이익,경상이익,단기순이익,ROE(자기자본이익률),기준년월,전일기준 시가총액 (억),그룹사 코드,회사신용한도초과여부,담보대출가능여부,대주가능여부
477470,KR7477470009,미래에셋비전스팩5호,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2110,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,21074,100,20240619,5480,548000000,12,,0,,N,N,0,0,1,1,0,20241231.0,115,,N,N,N
477760,KR7477760003,DB금융스팩12호,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2085,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,148,100,20240618,5840,584000000,12,,0,,N,N,0,-1,1,1,0,20241231.0,121,,N,N,N
478110,KR7478110000,이베스트스팩6호,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2010,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,9067,100,20240712,5020,502000000,12,,0,,N,N,0,0,1,0,0,20241231.0,100,,N,N,N
478390,KR7478390008,KB제29호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2060,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,16590,100,20240621,6220,622000000,12,,0,,N,N,0,0,2,1,0,20241231.0,128,,N,N,N
478440,KR7478440001,미래에셋비전스팩6호,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2025,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,34195,100,20240624,6930,693000000,12,,0,,N,N,0,0,2,1,0,20241231.0,140,,N,N,N
478560,KR7478560006,블랙야크아이앤씨,ST,3.0,1009,1020,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,3705,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,29189,100,20250121,25830,2583029800,12,,0,,N,N,212,40,-97,-96,-68,20250630.0,957,,N,N,N
478780,KR7478780000,대신밸런스제18호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2700,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,101872,100,20240822,7910,791000000,12,,0,,N,N,0,0,1,1,0,20241231.0,213,,N,N,N
479880,KR7479880007,한국제15호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2040,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,24886,100,20240626,6870,687000000,12,,0,,N,N,0,0,2,2,0,20241231.0,140,,N,N,N
479960,KR7479960007,위너스,ST,3.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,10680,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,29767,200,20250224,6851,1370200000,12,,0,,N,N,264,29,30,25,10,20241231.0,731,,N,N,N
481070,KR7481070001,에이유브랜즈,ST,2.0,1011,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,13830,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,39222,100,20250403,14160,1416000000,12,,0,,N,N,217,34,35,35,15,20250630.0,1958,,N,N,N
481890,KR7481890002,엔에이치스팩31호,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2110,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,183,100,20240726,6345,634500000,12,,0,,N,N,0,0,1,1,0,20241231.0,133,,N,N,N
482520,KR7482520004,교보16호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2095,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2379,100,20240813,6100,610000000,12,,0,,N,N,0,-1,0,0,0,20241231.0,127,,N,N,N
482630,KR7482630001,삼양엔씨켐,ST,3.0,1009,1023,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,18000,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,81262,500,20250203,10944,5472070000,12,,0,,N,N,1105,107,92,90,11,20241231.0,1969,,N,N,Y
482680,KR7482680006,미래에셋비전스팩7호,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2010,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3380,100,20240911,8215,821500000,12,,0,,N,N,0,0,1,0,0,20241231.0,165,,N,N,N
482690,KR7482690005,대신밸런스제19호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2165,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,3270,100,20241120,5615,561500000,12,,0,,N,N,0,0,-1,-1,0,20241231.0,121,,N,N,N
484120,KR7484120001,도우인시스,ST,0.0,1009,1028,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,25250,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,29802,500,20250723,10757,5378511000,12,,0,,N,N,698,17,-85,-85,-15,20250630.0,2716,,N,N,N
484130,KR7484130000,하나34호스팩,ST,3.0,1014,0,0,,N,N,,N,,,,,Y,,,0,,,N,,,,,N,2060,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,1024,100,20241119,4520,452000000,12,,0,,N,N,0,0,0,0,0,20241231.0,93,,N,N,N
484590,KR7484590005,삼양컴텍,ST,0.0,1009,1026,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,13790,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,311711,500,20250818,41210,21064935000,12,,0,,N,N,1416,181,168,165,36,20241231.0,5682,,N,N,N
484810,KR7484810007,티엑스알로보틱스,ST,2.0,1009,1027,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,15200,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,243918,500,20250320,15450,7725457500,12,,0,,N,N,572,53,42,38,16,20241231.0,2348,,N,N,N
